"Month","Month_Abbr","Forecast_KWH","Lower_80","Upper_80","Lower_95","Upper_95"
"January 2014","Jan",10104745,8862523,11346967,8204930,12004560
"February 2014","Feb",8336271,7057873,9614669,6381130,10291412
"March 2014","Mar",6689412,5411014,7967810,4734271,8644553
"April 2014","Apr",5973693,4695296,7252091,4018553,7928834
"May 2014","May",5896072,4617674,7174470,3940931,7851213
"June 2014","Jun",8042574,6764176,9320972,6087433,9997715
"July 2014","Jul",8503932,7225534,9782330,6548791,10459073
"August 2014","Aug",9688427,8410029,10966825,7733286,11643567
"September 2014","Sep",8233975,6955577,9512373,6278834,10189116
"October 2014","Oct",5860807,4582409,7139204,3905666,7815947
"November 2014","Nov",5964776,4686379,7243174,4009636,7919917
"December 2014","Dec",8018624,6740226,9297022,6063483,9973765
